size: 108
sub1: http://www.okkam.org/oaie/restaurant1-restaurant19
sub2: http://www.okkam.org/oaie/restaurant2-restaurant19

sub1: http://www.okkam.org/oaie/restaurant1-restaurant12
sub2: http://www.okkam.org/oaie/restaurant2-restaurant12

sub1: http://www.okkam.org/oaie/restaurant1-restaurant11
sub2: http://www.okkam.org/oaie/restaurant2-restaurant11

sub1: http://www.okkam.org/oaie/restaurant1-restaurant14
sub2: http://www.okkam.org/oaie/restaurant2-restaurant14

sub1: http://www.okkam.org/oaie/restaurant1-restaurant13
sub2: http://www.okkam.org/oaie/restaurant2-restaurant13

sub1: http://www.okkam.org/oaie/restaurant1-restaurant16
sub2: http://www.okkam.org/oaie/restaurant2-restaurant16

sub1: http://www.okkam.org/oaie/restaurant1-restaurant15
sub2: http://www.okkam.org/oaie/restaurant2-restaurant15

sub1: http://www.okkam.org/oaie/restaurant1-restaurant18
sub2: http://www.okkam.org/oaie/restaurant2-restaurant18

sub1: http://www.okkam.org/oaie/restaurant1-restaurant17
sub2: http://www.okkam.org/oaie/restaurant2-restaurant17

sub1: http://www.okkam.org/oaie/restaurant1-restaurant70
sub2: http://www.okkam.org/oaie/restaurant2-restaurant70

sub1: http://www.okkam.org/oaie/restaurant1-restaurant72
sub2: http://www.okkam.org/oaie/restaurant2-restaurant72

sub1: http://www.okkam.org/oaie/restaurant1-restaurant71
sub2: http://www.okkam.org/oaie/restaurant2-restaurant71

sub1: http://www.okkam.org/oaie/restaurant1-restaurant74
sub2: http://www.okkam.org/oaie/restaurant2-restaurant74

sub1: http://www.okkam.org/oaie/restaurant1-restaurant73
sub2: http://www.okkam.org/oaie/restaurant2-restaurant73

sub1: http://www.okkam.org/oaie/restaurant1-restaurant76
sub2: http://www.okkam.org/oaie/restaurant2-restaurant76

sub1: http://www.okkam.org/oaie/restaurant1-restaurant75
sub2: http://www.okkam.org/oaie/restaurant2-restaurant75

sub1: http://www.okkam.org/oaie/restaurant1-restaurant78
sub2: http://www.okkam.org/oaie/restaurant2-restaurant78

sub1: http://www.okkam.org/oaie/restaurant1-restaurant77
sub2: http://www.okkam.org/oaie/restaurant2-restaurant77

sub1: http://www.okkam.org/oaie/restaurant1-restaurant79
sub2: http://www.okkam.org/oaie/restaurant2-restaurant79

sub1: http://www.okkam.org/oaie/restaurant1-restaurant61
sub2: http://www.okkam.org/oaie/restaurant2-restaurant61

sub1: http://www.okkam.org/oaie/restaurant1-restaurant63
sub2: http://www.okkam.org/oaie/restaurant2-restaurant63

sub1: http://www.okkam.org/oaie/restaurant1-restaurant62
sub2: http://www.okkam.org/oaie/restaurant2-restaurant62

sub1: http://www.okkam.org/oaie/restaurant1-restaurant65
sub2: http://www.okkam.org/oaie/restaurant2-restaurant65

sub1: http://www.okkam.org/oaie/restaurant1-restaurant67
sub2: http://www.okkam.org/oaie/restaurant2-restaurant67

sub1: http://www.okkam.org/oaie/restaurant1-restaurant66
sub2: http://www.okkam.org/oaie/restaurant2-restaurant66

sub1: http://www.okkam.org/oaie/restaurant1-restaurant69
sub2: http://www.okkam.org/oaie/restaurant2-restaurant69

sub1: http://www.okkam.org/oaie/restaurant1-restaurant68
sub2: http://www.okkam.org/oaie/restaurant2-restaurant68

sub1: http://www.okkam.org/oaie/restaurant1-restaurant92
sub2: http://www.okkam.org/oaie/restaurant2-restaurant92

sub1: http://www.okkam.org/oaie/restaurant1-restaurant91
sub2: http://www.okkam.org/oaie/restaurant2-restaurant91

sub1: http://www.okkam.org/oaie/restaurant1-restaurant93
sub2: http://www.okkam.org/oaie/restaurant2-restaurant93

sub1: http://www.okkam.org/oaie/restaurant1-restaurant96
sub2: http://www.okkam.org/oaie/restaurant2-restaurant96

sub1: http://www.okkam.org/oaie/restaurant1-restaurant94
sub2: http://www.okkam.org/oaie/restaurant2-restaurant94

sub1: http://www.okkam.org/oaie/restaurant1-restaurant95
sub2: http://www.okkam.org/oaie/restaurant2-restaurant95

sub1: http://www.okkam.org/oaie/restaurant1-restaurant98
sub2: http://www.okkam.org/oaie/restaurant2-restaurant98

sub1: http://www.okkam.org/oaie/restaurant1-restaurant97
sub2: http://www.okkam.org/oaie/restaurant2-restaurant97

sub1: http://www.okkam.org/oaie/restaurant1-restaurant90
sub2: http://www.okkam.org/oaie/restaurant2-restaurant90

sub1: http://www.okkam.org/oaie/restaurant1-restaurant7
sub2: http://www.okkam.org/oaie/restaurant2-restaurant7

sub1: http://www.okkam.org/oaie/restaurant1-restaurant6
sub2: http://www.okkam.org/oaie/restaurant2-restaurant6

sub1: http://www.okkam.org/oaie/restaurant1-restaurant5
sub2: http://www.okkam.org/oaie/restaurant2-restaurant5

sub1: http://www.okkam.org/oaie/restaurant1-restaurant4
sub2: http://www.okkam.org/oaie/restaurant2-restaurant4

sub1: http://www.okkam.org/oaie/restaurant1-restaurant3
sub2: http://www.okkam.org/oaie/restaurant2-restaurant3

sub1: http://www.okkam.org/oaie/restaurant1-restaurant2
sub2: http://www.okkam.org/oaie/restaurant2-restaurant2

sub1: http://www.okkam.org/oaie/restaurant1-restaurant1
