size: 12
sub1: http://www.okkam.org/oaie/restaurant1-restaurant70
sub2: http://www.okkam.org/oaie/restaurant2-restaurant449

sub1: http://www.okkam.org/oaie/restaurant1-restaurant70
sub2: http://www.okkam.org/oaie/restaurant2-restaurant433

sub1: http://www.okkam.org/oaie/restaurant1-restaurant70
sub2: http://www.okkam.org/oaie/restaurant2-restaurant438

sub1: http://www.okkam.org/oaie/restaurant1-restaurant72
sub2: http://www.okkam.org/oaie/restaurant2-restaurant437

sub1: http://www.okkam.org/oaie/restaurant1-restaurant68
sub2: http://www.okkam.org/oaie/restaurant2-restaurant674

sub1: http://www.okkam.org/oaie/restaurant1-restaurant68
sub2: http://www.okkam.org/oaie/restaurant2-restaurant659

sub1: http://www.okkam.org/oaie/restaurant1-restaurant68
sub2: http://www.okkam.org/oaie/restaurant2-restaurant666

sub1: http://www.okkam.org/oaie/restaurant1-restaurant91
sub2: http://www.okkam.org/oaie/restaurant2-restaurant711

sub1: http://www.okkam.org/oaie/restaurant1-restaurant90
sub2: http://www.okkam.org/oaie/restaurant2-restaurant89

sub1: http://www.okkam.org/oaie/restaurant1-restaurant89
sub2: http://www.okkam.org/oaie/restaurant2-restaurant90

sub1: http://www.okkam.org/oaie/restaurant1-restaurant112
sub2: http://www.okkam.org/oaie/restaurant2-restaurant112

sub1: http://www.okkam.org/oaie/restaurant1-restaurant42
sub2: http://www.okkam.org/oaie/restaurant2-restaurant200

